G-truth    | Predict    | Edited     | Image path                                                       
ra         | raV        | ran        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_5_3_1.png        
cháu       | chản       | chân       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_0_17.png       
Châu       | lhâu       | châu       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_1_16.png       
Hôm        | Hêm        | Đêm        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_1_10.png       
Nẵng       | Nãng       | Lãng       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_2_9.png        
lịch       | liệnh      | liệng      | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_3_5.png        
đẹp        | địp        | địa        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_2_17.png       
km         | kmóm       | khóm       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_2_11.png       
lữ         | hã         | đã         | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_3_6.png        
nghiệm     | nghận      | nghen      | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_1_3_1.png        
trai       | trài       | trái       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_1_2_5.png        
viên       | vên        | nên        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_1_4_4.png        
kịp        | kụng       | dụng       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_1_3_12.png       
Diên       | Dên        | Nên        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_2_1_2.png        
2000       | do0        | don        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_2_3_15.png       
000        | Đ00        | 200        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_2_5_8.png        
Muốn       | Nhuốn      | Huống      | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_3_0_0.png        
nhiễm      | nhữm       | nhậm       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_3_2_5.png        
đứa        | đía        | đưa        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_3_0_16.png       
trò        | troà       | tron       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_3_0_18.png       
HIV        | tàV        | tài        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_3_2_6.png        
Nẵng       | Nỗng       | Bỗng       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_3_3_3.png        
gạch       | gạnh       | mạnh       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_3_3_5.png        
rời        | nời        | nói        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_3_2_14.png       
Văn        | Văm        | Năm        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_3_5_1.png        
nghiệm     | nghận      | nghen      | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_4_1_11.png       
Diên       | Dên        | Nên        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_4_0_8.png        
dõi        | chĩ        | cho        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_4_1_17.png       
nhiễm      | nhãm       | nhậm       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_4_3_3.png        
luận       | huộn       | huan       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_4_2_5.png        
tiếp       | tứp        | tập        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_4_4_11.png       
kiệt       | hiệt       | việt       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_4_6_1.png        
đẩy        | đổy        | đây        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_4_5_9.png        
quệ        | quộ        | qua        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_4_6_2.png        
Diên       | Dộn        | Độn        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_5_0_1.png        
giỗ        | giớ        | gia        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_5_0_7.png        
đi         | đị         | đã         | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_5_1_1.png        
lịch       | lện        | lên        | ./data/VNOnDB/word_test/20151209_0145_7276_1_tg_0_6_5.png        
dài        | doà        | don        | ./data/VNOnDB/word_test/20151209_0145_7276_1_tg_2_1_10.png       
chim       | chuno      | chung      | ./data/VNOnDB/word_test/20151209_0145_7276_1_tg_2_6_8.png        
quạc       | quạc       | quốc       | ./data/VNOnDB/word_test/20151209_0145_7276_1_tg_3_5_1.png        
phành      | phành      | thành      | ./data/VNOnDB/word_test/20151209_0145_7276_1_tg_5_0_11.png       
phạch      | phẹch      | phách      | ./data/VNOnDB/word_test/20151209_0145_7276_1_tg_5_0_12.png       
thoăn      | thoặn      | thoàn      | ./data/VNOnDB/word_test/20151209_0145_7276_1_tg_5_2_4.png        
chim       | chm        | cho        | ./data/VNOnDB/word_test/20151209_0145_7276_1_tg_5_2_9.png        
chim       | chm        | cho        | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_0_0_1.png        
chim       | chm        | cho        | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_0_2_4.png        
chim       | chm        | cho        | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_0_4_14.png       
dịp        | dụp        | dục        | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_0_6_8.png        
năm        | nàm        | này        | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_1_2_8.png        
chim       | chm        | cho        | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_2_5_5.png        
K          | kme        | khe        | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_3_1_16.png       
cassette   | Cazest     | Latest     | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_3_4_10.png       
chim       | chm        | cho        | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_3_6_14.png       
chim       | chm        | cho        | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_4_0_7.png        
khuya      | khuyn      | khuẩn      | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_0_0_10.png       
Quán       | Quáu       | Kháu       | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_0_0_0.png        
hay        | hày        | này        | ./data/VNOnDB/word_test/20151209_0145_7276_2_tg_5_4_0.png        
hàng       | hày        | này        | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_1_4_9.png        
thịt       | thợt       | thất       | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_1_6_18.png       
tháng      | tháy       | thay       | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_2_0_3.png        
thịt       | thợt       | thất       | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_2_0_9.png        
kg         | kgọp       | kháp       | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_3_3_16.png       
ở          | ởở         | sở         | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_3_4_11.png       
thịt       | thìt       | thất       | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_4_0_8.png        
ria        | rưa        | đưa        | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_4_2_8.png        
mép        | miệp       | hiệp       | ./data/VNOnDB/word_test/20160220_0143_7606_2_tg_4_2_9.png        
cứu        | cức        | các        | ./data/VNOnDB/word_test/20160504_0147_25627_3_tg_0_4_7.png       
hết        | liết       | tiết       | ./data/VNOnDB/word_test/20160504_0147_25627_3_tg_0_4_17.png      
Bitocimex  | Bitococin  | Lipomycin  | ./data/VNOnDB/word_test/20160504_0147_25627_3_tg_1_4_16.png      
khỏe       | khỏc       | khác       | ./data/VNOnDB/word_test/20160504_0147_25627_3_tg_1_5_14.png      
rủi        | rủao       | rao        | ./data/VNOnDB/word_test/20160504_0147_25627_3_tg_2_0_15.png      
Riêng      | hiêng      | viêng      | ./data/VNOnDB/word_test/20160504_0147_25627_3_tg_2_4_16.png      
kilômet    | kilokm     | kilo       | ./data/VNOnDB/word_test/20160504_0147_25627_3_tg_3_4_8.png       
sẽ         | Sè         | Bè         | ./data/VNOnDB/word_test/20160510_0148_25472_tg_0_2_19.png        
NN         | 1N         | 10         | ./data/VNOnDB/word_test/20160510_0148_25472_tg_0_3_21.png        
thiết      | hiết       | tiết       | ./data/VNOnDB/word_test/20160510_0148_25472_tg_1_3_14.png        
nhưng      | nhương     | thương     | ./data/VNOnDB/word_test/20160510_0148_25472_tg_1_3_15.png        
NH         | Nù         | Dù         | ./data/VNOnDB/word_test/20160510_0148_25472_tg_2_1_10.png        
kèm        | hêm        | hcm        | ./data/VNOnDB/word_test/20160510_0148_25472_tg_2_3_0.png         
kinh       | kanh       | đanh       | ./data/VNOnDB/word_test/20160510_0148_25472_tg_2_5_7.png         
tỉ         | tỉy        | tay        | ./data/VNOnDB/word_test/20160510_0148_25472_tg_2_4_16.png        
điệp       | địp        | địa        | ./data/VNOnDB/word_test/20160510_0148_25472_tg_3_0_15.png        
Thị        | thhi       | thời       | ./data/VNOnDB/word_test/20160510_0148_25472_tg_3_1_14.png        
trả        | trủa       | trưa       | ./data/VNOnDB/word_test/20160510_0148_25472_tg_4_1_6.png         
tòa        | tồa        | tra        | ./data/VNOnDB/word_test/20160510_0148_25472_tg_4_3_3.png         
nơi        | nvi        | nói        | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_0_0_1.png        
NN         | 1N         | 10         | ./data/VNOnDB/word_test/20160510_0148_25472_tg_5_4_11.png        
Ba         | Ua         | Ra         | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_0_3_8.png        
phương     | nhương     | thương     | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_1_1_14.png       
7          | 7i         | đi         | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_1_2_0.png        
Ba         | ướa        | ước        | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_1_2_9.png        
Hồ         | quồ        | qua        | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_2_2_1.png        
hoa        | hoao       | hoan       | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_2_4_0.png        
trú        | trủ        | thủ        | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_3_0_18.png       
xứ         | vứ         | và         | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_4_0_23.png       
Thiện      | Chiện      | Khiện      | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_4_3_2.png        
bệnh       | kệnh       | kinh       | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_4_4_10.png       
xã         | cuã        | cup        | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_5_0_11.png       
à          | àng        | ông        | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_4_6_20.png       
Không      | đhông      | không      | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_5_3_0.png        
xuyên      | cuyên      | quyên      | ./data/VNOnDB/word_test/20160517_0149_9539_2_tg_5_5_13.png       
Hội        | Kội        | Đội        | ./data/VNOnDB/word_test/20160517_0150_25272_tg_0_0_7.png         
tour       | tru1       | truy       | ./data/VNOnDB/word_test/20160517_0150_25272_tg_0_4_4.png         
đẩy        | đảy        | đây        | ./data/VNOnDB/word_test/20160517_0150_25272_tg_1_0_4.png         
xe         | xCc        | xác        | ./data/VNOnDB/word_test/20160517_0150_25272_tg_1_2_15.png        
xây        | xáy        | máy        | ./data/VNOnDB/word_test/20160518_0151_25432_1_tg_1_0_17.png      
để         | điể        | đin        | ./data/VNOnDB/word_test/20160518_0152_25475_tg_1_1_2.png         
lệnh       | kệnh       | kinh       | ./data/VNOnDB/word_test/20160518_0153_25303_tg_0_1_10.png        
biển       | biễn       | diễn       | ./data/VNOnDB/word_test/20160518_0153_25303_tg_0_2_4.png         
ampli      | anghi      | nghi       | ./data/VNOnDB/word_test/20160518_0153_25303_tg_0_4_18.png        
thu        | theu       | theo       | ./data/VNOnDB/word_test/20160518_0153_25303_tg_1_1_14.png        
Sanofi     | Sanof      | Hanoi      | ./data/VNOnDB/word_test/20160518_0154_25288_tg_0_0_7.png         
dưới       | chưới      | chước      | ./data/VNOnDB/word_test/20160518_0153_25303_tg_1_4_0.png         
Sanofi     | sangofi    | sanofi     | ./data/VNOnDB/word_test/20160518_0154_25288_tg_0_2_2.png         
mặt        | ặt         | ít         | ./data/VNOnDB/word_test/20160518_0154_25288_tg_0_2_11.png        
sĩ         | siả        | giả        | ./data/VNOnDB/word_test/20160518_0154_25288_tg_0_9_12.png        
hiện       | liện       | viện       | ./data/VNOnDB/word_test/20160518_0155_25344_tg_1_0_8.png         
ma         | mra        | tra        | ./data/VNOnDB/word_test/20160518_0156_25302_tg_0_0_26.png        
tượng      | trựng      | trong      | ./data/VNOnDB/word_test/20160518_0156_25302_tg_0_3_0.png         
giới       | giói       | giải       | ./data/VNOnDB/word_test/20160518_0156_25302_tg_0_3_9.png         
lứa        | hía        | hóa        | ./data/VNOnDB/word_test/20160518_0156_25302_tg_1_0_6.png         
mua        | muốc       | quốc       | ./data/VNOnDB/word_test/20160518_0156_25302_tg_1_3_2.png         
dâm        | trêm       | trên       | ./data/VNOnDB/word_test/20160518_0156_25302_tg_1_3_3.png         
ma         | mra        | tra        | ./data/VNOnDB/word_test/20160518_0156_25302_tg_2_0_15.png        
năm        | nàm        | này        | ./data/VNOnDB/word_test/20160518_0156_25302_tg_2_1_20.png        
ở          | ởi         | đi         | ./data/VNOnDB/word_test/20160518_0156_25302_tg_2_1_8.png         
lớn        | lón        | lên        | ./data/VNOnDB/word_test/20160518_0156_25302_tg_2_6_15.png        
từ         | tùi        | tôi        | ./data/VNOnDB/word_test/20160518_0157_25311_tg_0_2_7.png         
kết        | hiết       | tiết       | ./data/VNOnDB/word_test/20160518_0157_25311_tg_0_3_9.png         
tháng      | thóng      | thông      | ./data/VNOnDB/word_test/20160518_0157_25311_tg_0_6_5.png         
Kong       | kmg        | km2        | ./data/VNOnDB/word_test/20160518_0158_25288_tg_0_3_6.png         
đi         | đị         | đã         | ./data/VNOnDB/word_test/20160518_0158_25288_tg_0_2_19.png        
số         | sốn        | sân        | ./data/VNOnDB/word_test/20160518_0158_25288_tg_0_2_21.png        
buôn       | bướn       | bước       | ./data/VNOnDB/word_test/20160518_0158_25288_tg_0_4_14.png        
xếp        | xiếp       | tiếp       | ./data/VNOnDB/word_test/20160518_0158_25288_tg_0_4_1.png         
sản        | sảu        | sau        | ./data/VNOnDB/word_test/20160518_0158_25288_tg_0_6_3.png         
ở          | ởng        | ông        | ./data/VNOnDB/word_test/20160518_0158_25288_tg_0_6_6.png         
tiểu       | tìu        | tìm        | ./data/VNOnDB/word_test/20160518_0159_25475_tg_0_3_0.png         
tín        | tún        | tên        | ./data/VNOnDB/word_test/20160518_0159_25475_tg_0_4_11.png        
phía       | Phóa       | Khóa       | ./data/VNOnDB/word_test/20160518_0159_25475_tg_1_4_0.png         
tây        | tăy        | tay        | ./data/VNOnDB/word_test/20160518_0159_25475_tg_1_4_1.png         
cuốn       | cuấn       | chấn       | ./data/VNOnDB/word_test/20160518_0160_25433_tg_0_4_8.png         
bêtông     | bêng       | bằng       | ./data/VNOnDB/word_test/20160518_0160_25433_tg_1_2_10.png        
tivi       | tvi        | tôi        | ./data/VNOnDB/word_test/20160519_0161_9129_2_tg_0_4_6.png        
ống        | ỗng        | ông        | ./data/VNOnDB/word_test/20160519_0161_9129_2_tg_1_1_4.png        
xô         | xò         | xe         | ./data/VNOnDB/word_test/20160519_0161_9129_2_tg_2_4_5.png        
mẹ         | mẹe        | mẹo        | ./data/VNOnDB/word_test/20160519_0161_9129_2_tg_5_0_4.png        
4          | 4n         | an         | ./data/VNOnDB/word_test/20160521_0162_28472_1_tg_1_0_4.png       
sau        | suục       | sục        | ./data/VNOnDB/word_test/20160521_0162_28472_1_tg_3_0_6.png       
hướng      | hưỡng      | dưỡng      | ./data/VNOnDB/word_test/20160521_0162_28472_1_tg_5_1_13.png      
115        | 11ô        | 110        | ./data/VNOnDB/word_test/20160523_0163_9244_1_tg_0_0_5.png        
mày        | mầy        | máy        | ./data/VNOnDB/word_test/20160523_0163_9244_1_tg_0_1_2.png        
về         | vền        | vẫn        | ./data/VNOnDB/word_test/20160521_0162_28472_1_tg_5_1_12.png      
xin        | vìn        | vẫn        | ./data/VNOnDB/word_test/20160523_0163_9244_1_tg_0_4_0.png        
cứu        | cức        | các        | ./data/VNOnDB/word_test/20160523_0163_9244_1_tg_0_4_2.png        
êkip       | êhip       | chip       | ./data/VNOnDB/word_test/20160523_0163_9244_1_tg_2_4_18.png       
cứu        | cức        | các        | ./data/VNOnDB/word_test/20160523_0163_9244_1_tg_2_4_16.png       
êkip       | êhiệp      | thiệp      | ./data/VNOnDB/word_test/20160523_0163_9244_1_tg_4_0_5.png        
cứu        | cức        | các        | ./data/VNOnDB/word_test/20160523_0163_9244_1_tg_4_0_7.png        
niềm       | niếm       | tiếm       | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_0_4_15.png       
Dẫu        | Bẫu        | Mẫu        | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_0_3_0.png        
Làm        | Lám        | Đám        | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_1_0_1.png        
vậy        | oày        | này        | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_1_1_8.png        
đều        | đếu        | đến        | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_1_3_6.png        
đáp        | đặp        | gặp        | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_2_4_15.png       
niềm       | niếm       | tiếm       | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_3_5_1.png        
ý          | gý         | lý         | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_3_4_9.png        
quảng      | Huảng      | Quảng      | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_4_1_13.png       
nhặt       | nhệt       | nhất       | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_4_0_18.png       
triển      | triến      | triên      | ./data/VNOnDB/word_test/20160523_0164_9415_3_tg_4_5_2.png        
nên        | siên       | viên       | ./data/VNOnDB/word_test/20160523_0165_25464_1_tg_1_5_9.png       
chỉ        | chể        | thể        | ./data/VNOnDB/word_test/20160523_0165_25464_1_tg_2_5_17.png      
đẩy        | đảy        | đây        | ./data/VNOnDB/word_test/20160523_0165_25464_1_tg_3_1_12.png      
Vừa        | vứa        | vừa        | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_0_0_0.png        
loại       | mìng       | mình       | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_0_2_12.png       
cũ         | chơt       | chất       | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_0_2_18.png       
nhặt       | nhặc       | nhạc       | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_2_0_2.png        
ai         | ci         | có         | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_2_0_11.png       
nilông     | nường      | đường      | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_3_3_16.png       
vị         | vịi        | với        | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_4_1_6.png        
nhiên      | nhiển      | nhiện      | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_4_2_0.png        
ruộng      | rượng      | lượng      | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_5_0_8.png        
Nhưng      | Nhưn       | Nhân       | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_5_2_21.png       
chối       | dảng       | dụng       | ./data/VNOnDB/word_test/20160524_0166_9415_2_tg_5_3_17.png       
Bộ         | cBộ        | cộ         | ./data/VNOnDB/word_test/20160524_0167_25464_1_tg_0_5_5.png       
Mai        | CMai       | Thai       | ./data/VNOnDB/word_test/20160524_0167_25464_1_tg_0_5_13.png      
mấy        | mãy        | máy        | ./data/VNOnDB/word_test/20160524_0167_25464_1_tg_1_4_10.png      
cấp        | liấp       | liếp       | ./data/VNOnDB/word_test/20160524_0167_25464_1_tg_2_1_20.png      
sử         | sửi        | gửi        | ./data/VNOnDB/word_test/20160524_0167_25464_1_tg_3_4_6.png       
thỏa       | thỉa       | thưa       | ./data/VNOnDB/word_test/20160524_0167_25464_1_tg_4_1_20.png      
vụ         | vẹ         | và         | ./data/VNOnDB/word_test/20160524_0167_25464_1_tg_4_0_6.png       
díu        | diú        | din        | ./data/VNOnDB/word_test/20160525_0168_25283_1_tg_1_0_8.png       
vết        | xết        | kết        | ./data/VNOnDB/word_test/20160525_0168_25283_1_tg_2_6_14.png      
oan        | 0an        | đan        | ./data/VNOnDB/word_test/20160525_0168_25283_1_tg_3_3_4.png       
phận       | phậm       | phẩm       | ./data/VNOnDB/word_test/20160525_0169_25627_2_tg_0_0_16.png      
giới       | quối       | quốc       | ./data/VNOnDB/word_test/20160525_0169_25627_2_tg_0_2_16.png      
giúp       | trầnh      | trình      | ./data/VNOnDB/word_test/20160525_0169_25627_2_tg_0_4_6.png       
Malaysia   | Malaia     | Malaga     | ./data/VNOnDB/word_test/20160525_0169_25627_2_tg_1_1_7.png       
vỉa        | viá        | giá        | ./data/VNOnDB/word_test/20160525_0169_25627_2_tg_1_2_1.png       
giam       | gim        | gia        | ./data/VNOnDB/word_test/20160525_0169_25627_2_tg_1_5_3.png       
bị         | bịi        | bởi        | ./data/VNOnDB/word_test/20160525_0169_25627_2_tg_1_3_16.png      
sự         | vự         | và         | ./data/VNOnDB/word_test/20160525_0169_25627_2_tg_2_0_5.png       
ringgit    | ringug     | ringer     | ./data/VNOnDB/word_test/20160525_0169_25627_2_tg_2_2_1.png       
